Date,SPY,XLK,IYC
5/20/2019,0,-1.044321921,-0.546879137
5/21/2019,1,0.65842212,0.507877093
5/22/2019,0,-0.339205067,-0.39152771
5/23/2019,0,-1.055047034,-0.933307719
5/24/2019,1,-0.025001507,0.044017758
5/28/2019,0,-0.20490553,-0.263867183
5/29/2019,0,-0.378444901,-0.629162382
5/30/2019,1,0.312814802,0.280944177
5/31/2019,0,-1.004047497,-0.839474456
6/3/2019,0,-1.05294141,-0.663259998
6/4/2019,1,1.84101272,1.575477555
6/5/2019,1,0.699690875,0.285778805
6/6/2019,1,0.621374665,0.324423139
6/7/2019,1,1.013479067,0.923389013
6/10/2019,1,0.542466311,0.386780165
6/11/2019,0,-0.040644513,0.130609951
6/12/2019,0,-0.361357073,0.006570433
6/13/2019,1,0.131117254,0.616282034
6/14/2019,0,-0.542487483,0.051503759
6/17/2019,1,0.004486335,0.199962114
6/18/2019,1,0.987432108,0.382141767
6/19/2019,1,0.165701779,0.303338433
6/20/2019,1,0.79195586,0.317708843
6/21/2019,0,-0.311973561,-0.343959547
6/24/2019,0,0.068907311,-0.326264944
6/25/2019,0,-1.101131463,-0.520897438
6/26/2019,0,0.57301736,-0.074360371
6/27/2019,1,0.106251279,0.40533269
6/28/2019,1,-0.047980935,0.268665329
7/1/2019,1,0.861857739,0.556469374
7/2/2019,1,0.110802858,0.343965385
7/3/2019,1,0.397008287,0.536265619
7/5/2019,0,-0.147951207,0.096123555
7/8/2019,0,-0.47912155,-0.18831227
7/9/2019,1,0.16103271,0.13056769
7/10/2019,1,0.410567935,0.270338211
7/11/2019,1,0.172979284,0.272233115
7/12/2019,1,0.377159242,0.575674375
7/15/2019,1,0.149544776,0.069490851
7/16/2019,0,-0.577598949,-0.028712346
7/17/2019,0,-0.189916337,-0.59851933
7/18/2019,1,0.384799772,-0.363650782
7/19/2019,0,-0.288431776,-0.650177531
7/22/2019,1,0.615420276,-0.129363951
7/23/2019,1,0.274123186,0.247007899
7/24/2019,1,0.431756339,0.473177605
7/25/2019,0,-0.276357686,-0.187485135
7/26/2019,1,0.084269225,0.514183369
7/29/2019,0,-0.075313018,-0.347920069
7/30/2019,0,-0.40944696,-0.396294412
7/31/2019,0,-0.912890413,-0.924639211
8/1/2019,0,-0.33199085,-0.680613045
8/2/2019,0,-0.981596787,-0.474470733
8/5/2019,0,-2.481912359,-1.909355477
8/6/2019,1,0.903810686,0.925323418
8/7/2019,1,0.315070675,-0.107540136
8/8/2019,1,1.346152219,1.286266374
8/9/2019,0,-0.693352337,-0.456330812
8/12/2019,0,-0.796898806,-0.96677852
8/13/2019,1,1.375540629,0.914885448
8/14/2019,0,-1.827578353,-2.083345892
8/15/2019,1,-0.144873889,0.195951075
8/16/2019,1,1.037196879,0.871635064
8/19/2019,1,0.823127962,0.69885994
8/20/2019,0,-0.329527296,-0.158683083
8/21/2019,1,0.628783519,0.77947601
8/22/2019,0,-0.176786259,0.089316755
8/23/2019,0,-1.966420031,-1.712620183
8/26/2019,1,0.747712977,0.645822034
8/27/2019,0,-0.128529581,-0.03898609
8/28/2019,1,0.010643932,0.675085671
8/29/2019,1,0.946576605,0.900174016
8/30/2019,0,-0.055047237,-0.248282501
9/3/2019,0,-0.743203689,-0.495361379
9/4/2019,1,0.927642142,0.761232774
9/5/2019,1,1.143619032,0.899705171
9/6/2019,1,-0.089795762,0.167871857
9/9/2019,1,-0.470762097,0.207806864
9/10/2019,0,-0.331563083,-0.246808909
9/11/2019,1,0.55380544,0.139389969
9/12/2019,1,0.268278554,0.219686058
9/13/2019,0,-0.462322871,0.014605667
9/16/2019,0,-0.181893291,-0.776788844
9/17/2019,1,0.192227227,0.37107855
9/18/2019,1,-0.047688509,-0.103690183
9/19/2019,0,0.086003935,-0.435655251
9/20/2019,0,-0.712193637,-0.773655698
9/23/2019,0,0.137415985,0.078785537
9/24/2019,0,-0.597997432,-0.683175837
9/25/2019,1,0.637463072,0.456795301
9/26/2019,0,0.023176556,-0.576033482
9/27/2019,0,-0.811318053,-0.296210363
9/30/2019,1,0.559658844,0.497634669
10/1/2019,0,-0.576323122,-0.523741729
10/2/2019,0,-1.127300056,-1.042378842
10/3/2019,1,0.657186421,0.107957388
10/4/2019,1,0.89808861,0.80495885
10/7/2019,0,-0.282811284,-0.093759356
10/8/2019,0,-1.09958793,-0.750111554
10/9/2019,1,0.803766678,0.439248627
10/10/2019,1,0.352047855,0.423360533
10/11/2019,1,0.743759745,0.695369666
10/15/2019,1,0.587939209,0.483198416
10/16/2019,0,-0.437951074,0.208369648
10/17/2019,1,-0.152661551,0.333504899
10/18/2019,0,-0.589902295,-0.391460729
10/21/2019,1,0.571645701,0.166720078
10/22/2019,0,-0.815917719,-0.382957257
10/23/2019,1,0.009002097,-0.181285745
10/24/2019,1,0.789893124,0.024957035
10/25/2019,1,0.646976233,0.344567092
10/28/2019,1,0.679775832,0.304954047
10/29/2019,0,-0.561176115,-0.483033321
10/30/2019,1,0.30917456,0.220532015
10/31/2019,0,-0.074846042,-0.272185433
11/1/2019,1,0.639528533,0.308811556
11/4/2019,1,0.256102316,0.078072387
11/5/2019,0,-0.107949876,0.140705674
11/6/2019,1,-0.067587772,-0.085427542
11/7/2019,1,0.409000146,-0.123220645
11/8/2019,1,0.279340504,0.147006018
11/12/2019,1,0.151714093,-0.047744468
11/13/2019,1,0.08504562,0.17169076
11/14/2019,1,-0.106755441,0.330193751
11/15/2019,1,0.420577934,-0.10364308
11/18/2019,1,0.12971357,0.347465549
11/19/2019,0,0.07047808,-0.383358016
11/20/2019,0,-0.387796623,-0.278779881
11/21/2019,0,-0.330455691,-0.138516409
11/22/2019,1,-0.113327121,0.25895097
11/25/2019,1,0.786416656,0.344862698
11/26/2019,1,0.011474205,0.370789213
11/27/2019,1,0.277505755,0.5220054
11/29/2019,0,-0.209232504,-0.459151312
12/2/2019,0,-0.864786531,-0.558249227
12/3/2019,0,-0.550190547,-0.659625845
12/4/2019,1,0.191541952,0.155952411
12/5/2019,1,0.170807216,-0.060196814
12/6/2019,1,0.589049371,0.461005515
12/9/2019,0,-0.341503898,-0.122186303
12/10/2019,0,0.005238877,-0.359751975
12/11/2019,1,0.344652364,0.158626818
12/12/2019,1,0.567925064,0.598860511
12/13/2019,1,0.338048199,-0.025676445
12/16/2019,1,0.468869932,0.240296086
12/17/2019,1,-0.173944767,0.34118657
12/18/2019,1,-0.047006303,-0.173402384
12/19/2019,1,0.371027223,0.468761501
12/20/2019,1,0.290780947,0.285830508
12/23/2019,1,0.122788415,-0.230030744
12/24/2019,1,-0.021826667,0.120933915
12/26/2019,1,0.384453684,0.521252981
12/27/2019,0,-0.046868417,-0.092168508
12/30/2019,0,-0.371743061,-0.441860203
12/31/2019,1,0.140759802,-0.028646919
1/2/2020,1,1.023590294,0.666001852
1/3/2020,0,-0.687972438,-0.425137956
1/6/2020,1,0.095590746,0.101834839
1/7/2020,0,-0.0653865,-0.116549955
1/8/2020,1,0.568702882,0.234966003
1/9/2020,1,0.604673753,0.294265908
1/10/2020,0,-0.17399031,-0.39679633
1/13/2020,1,0.670922562,0.264417398
1/14/2020,0,-0.310955656,0.115999312
1/15/2020,1,0.025548245,-0.085713798
1/16/2020,1,0.72405931,0.451668849
1/17/2020,1,0.343801463,0.132864093
1/21/2020,0,-0.064233789,-0.240690423
1/22/2020,1,0.16538804,-0.109375891
1/23/2020,1,0.229010659,0.115267778
1/24/2020,0,-0.310299685,-0.935055445
1/27/2020,0,-1.420368902,-0.947255894
1/28/2020,1,1.044527426,0.540471812
1/29/2020,0,0.106823449,-0.383134214
1/30/2020,1,0.452076287,0.203800501
1/31/2020,0,-1.633733132,-0.448366359
2/3/2020,1,0.711081065,0.45209776
2/4/2020,1,1.439626465,1.103647177
2/5/2020,1,0.293364976,0.393685823
2/6/2020,1,0.479534984,-0.037409502
2/7/2020,0,-0.566562213,-0.318747752
2/10/2020,1,0.729428477,0.190101671
2/11/2020,1,-0.2336174,0.706236831
2/12/2020,1,0.575718716,0.719237118
2/13/2020,0,-0.19270775,-0.028290799
2/14/2020,1,0.206951054,-0.201269067
2/18/2020,0,-0.254417735,0.214952774
2/19/2020,1,0.637279566,0.246243168
2/20/2020,0,-0.639717137,-0.071990347
2/21/2020,0,-1.338477758,-0.790875829
2/24/2020,0,-2.457153007,-2.264381552
2/25/2020,0,-1.902250134,-2.07833811
2/26/2020,0,0.219323519,-0.776610765
2/27/2020,0,-3.214970169,-2.70985921
2/28/2020,0,0.395068368,-0.885362148
3/2/2020,1,3.177673387,2.249784047
3/3/2020,0,-2.257146077,-1.630935888
3/4/2020,1,2.365392704,2.212770966
3/5/2020,0,-1.876581173,-2.643077939
3/6/2020,0,-1.263789278,-0.56367289
3/9/2020,0,-4.560872225,-4.619157162
3/10/2020,1,3.655936377,3.311824323
3/11/2020,0,-2.811034886,-4.063424782
3/12/2020,0,-5.920393685,-7.509868502
3/13/2020,1,6.310253754,5.205987196
3/16/2020,0,-8.551586733,-8.254162376
3/17/2020,1,3.730086516,1.52398863
3/18/2020,0,-2.23937228,-4.059863664
3/19/2020,1,0.166242322,2.355268471
3/20/2020,0,-2.726134855,-2.516482019
3/23/2020,0,-0.56599405,-0.054440654
3/24/2020,1,5.541405772,6.013366781
3/25/2020,1,-0.114461859,0.831264939
3/26/2020,1,3.399255623,3.021494092
3/27/2020,0,-2.688353086,-2.64094593
3/30/2020,1,2.321191404,1.351944899
3/31/2020,0,-1.120267469,-1.052416504
4/1/2020,0,-2.836026021,-2.967349381
4/2/2020,1,1.282812788,0.486668192
4/3/2020,0,-0.931906316,-1.304321163
4/6/2020,1,4.646773397,5.125733199
4/7/2020,1,-0.555955402,0.654417695
4/8/2020,1,1.47811846,1.89350693
4/9/2020,1,-0.02720019,1.102090706
4/13/2020,0,0.086888049,-0.11074703
4/14/2020,1,2.310633289,2.530241177
4/15/2020,0,-1.302803375,-1.528755194
4/16/2020,1,0.652433066,0.657299718
4/17/2020,1,0.714733538,1.659903544
4/20/2020,0,-0.965244258,-1.187637128
4/21/2020,0,-2.491075701,-1.666078563
4/22/2020,1,2.122257267,0.976687922
4/23/2020,0,-0.435058853,0.087540421
4/24/2020,1,1.160400083,1.087563143
4/27/2020,1,0.448172232,1.39074842
4/28/2020,0,-0.807895757,0.138490513
4/29/2020,1,2.262131291,1.665024782
4/30/2020,0,-0.296847214,-1.024630737
5/1/2020,0,-1.634644638,-1.986988711
5/4/2020,1,0.714263292,0.231671388
5/5/2020,1,0.742042146,0.015320637
5/6/2020,0,0.402757559,-0.158860037
5/7/2020,1,0.811456778,1.077344866
5/8/2020,1,0.792913623,1.303251666
5/11/2020,1,0.338639014,-0.28272093
5/12/2020,0,-1.235106814,-1.478392678
5/13/2020,0,-1.035677589,-1.382790762
5/14/2020,1,0.684162802,0.70556905
5/15/2020,1,0.247954711,1.045531169
5/18/2020,1,1.345063752,2.550730546
5/19/2020,0,-0.250263941,-0.550658418
5/20/2020,1,1.199902384,1.081451033
5/21/2020,0,-0.844840254,0.019853303
5/22/2020,1,0.167400034,-0.094936616
5/26/2020,1,-0.100006067,1.000200734
5/27/2020,1,0.28509415,1.176478534
5/28/2020,0,-0.152962581,-0.725617237
5/29/2020,1,0.676754307,0.348824012
6/1/2020,1,-0.058178456,0.622808164
6/2/2020,1,0.494629206,0.422206895
6/3/2020,1,0.403530957,1.143824919
6/4/2020,0,-0.513786029,-0.118552042
6/5/2020,1,1.446298857,1.33317116
6/8/2020,1,0.246555581,1.217917539
6/9/2020,0,0.228351637,-0.999187715
6/10/2020,0,0.907485749,-0.961016271
6/11/2020,0,-3.421431931,-3.720743571
6/12/2020,1,0.695457243,0.759067727
6/15/2020,1,0.509572435,0.494162087
6/16/2020,1,1.167159835,1.344295006
6/17/2020,0,-0.051827073,-0.231910457
6/18/2020,1,0.215735181,-0.125949437
6/19/2020,0,-0.436834018,-0.54474339
6/22/2020,1,1.027958278,0.402261221
6/23/2020,1,0.371209536,0.290473908
6/24/2020,0,-1.346747349,-1.762489705
6/25/2020,1,0.688027742,0.105317942
6/26/2020,0,-1.179425307,-1.54534552
6/29/2020,1,0.581787094,1.343071676
6/30/2020,1,0.976478763,0.605873426
7/1/2020,1,0.052426537,0.807771442
7/2/2020,1,0.292062145,-0.123173054
7/6/2020,1,0.951373818,1.309992311
7/7/2020,0,-0.642435892,-0.716884752
7/8/2020,1,0.886269009,0.409061214
7/9/2020,0,0.166250158,-0.059765641
7/10/2020,1,-0.056526964,1.184335762
7/13/2020,0,-1.239642188,-0.914251696
7/14/2020,1,0.615483172,0.765554621
7/15/2020,1,0.268681701,1.414082501
7/16/2020,0,-0.752435451,-0.27987351
7/17/2020,1,0.238701035,-0.329023749
7/20/2020,1,1.403974071,0.287029571
7/21/2020,1,-0.618344623,0.291647421
7/22/2020,1,0.416748778,0.515759263
7/23/2020,0,-1.547447277,-0.793990822
7/24/2020,0,-0.738401551,0.04338038
7/27/2020,1,0.855680098,0.276147164
7/28/2020,0,-0.714277882,-0.542973328
7/29/2020,1,0.782797491,0.631995458
7/30/2020,0,0.279074142,-0.096884321
7/31/2020,1,1.371189344,0.078693781
8/3/2020,1,1.352399276,0.229844035
8/4/2020,1,0.105896702,0.890096829
8/5/2020,1,0.170923848,0.449761334
8/6/2020,1,0.758251763,0.619534659
8/7/2020,1,-0.899905249,-0.010871526
8/10/2020,1,-0.201941321,0.528035399
8/11/2020,0,-1.079729529,-0.193905188
8/12/2020,1,1.245241029,0.689655491
